iter	Passed	Remaining
0	148	147989
1	148	74328
2	149	49729
3	150	37420
4	150	30036
5	151	25108
6	152	21588
7	152	18946
8	153	16890
9	154	15246
10	154	13899
11	155	12779
12	155	11830
13	156	11017
14	157	10314
15	157	9698
16	158	9154
17	158	8671
18	159	8238
19	160	7848
20	160	7495
21	161	7174
22	161	6881
23	162	6612
24	163	6365
25	163	6137
26	164	5925
27	165	5728
28	165	5545
29	166	5375
30	166	5215
31	167	5066
32	168	4925
33	168	4793
34	169	4667
35	169	4549
36	170	4438
37	171	4332
38	171	4232
39	172	4136
40	172	4045
41	173	3958
42	174	3876
43	174	3797
44	175	3721
45	175	3650
46	176	3580
47	177	3514
48	177	3451
49	178	3390
50	179	3331
51	179	3275
52	180	3220
53	180	3168
54	181	3117
55	182	3068
56	182	3021
57	183	2976
58	183	2932
59	184	2890
60	185	2850
61	185	2812
62	186	2773
63	187	2736
64	187	2701
65	188	2666
66	189	2632
67	189	2595
68	190	2564
69	190	2535
70	191	2507
71	192	2480
72	193	2453
73	193	2426
74	194	2399
75	195	2375
76	196	2351
77	196	2327
78	197	2304
79	198	2281
80	199	2258
81	199	2235
82	200	2213
83	200	2191
84	201	2167
85	202	2146
86	202	2124
87	203	2104
88	203	2084
89	204	2065
90	204	2047
91	205	2029
92	206	2011
93	206	1993
94	207	1977
95	208	1960
96	208	1944
97	209	1928
98	210	1916
99	211	1902
100	212	1887
101	212	1870
102	213	1856
103	214	1843
104	214	1830
105	215	1818
106	216	1806
107	217	1793
108	217	1781
109	218	1768
110	219	1755
111	219	1743
112	220	1731
113	221	1718
114	221	1707
115	222	1695
116	223	1685
117	224	1675
118	224	1662
119	225	1651
120	225	1640
121	226	1629
122	226	1617
123	227	1606
124	228	1597
125	228	1587
126	229	1577
127	229	1566
128	230	1556
129	231	1546
130	231	1537
131	232	1528
132	232	1518
133	233	1509
134	234	1502
135	235	1494
136	235	1485
137	236	1476
138	236	1468
139	237	1459
140	238	1451
141	238	1442
142	239	1434
143	239	1426
144	240	1419
145	241	1412
146	242	1404
147	242	1397
148	243	1389
149	243	1382
150	244	1374
151	245	1367
152	245	1360
153	246	1353
154	247	1347
155	247	1340
156	248	1334
157	249	1327
158	249	1320
159	250	1314
160	250	1307
161	251	1300
162	252	1294
163	252	1288
164	253	1282
165	254	1277
166	254	1271
167	255	1265
168	256	1259
169	256	1253
170	257	1247
171	257	1241
172	258	1236
173	259	1231
174	260	1226
175	260	1220
176	261	1215
177	262	1210
178	262	1205
179	263	1200
180	263	1193
181	264	1188
182	265	1183
183	265	1179
184	266	1174
185	267	1169
186	268	1165
187	268	1160
188	269	1156
189	270	1152
190	270	1147
191	271	1142
192	272	1137
193	272	1133
194	273	1128
195	274	1124
196	274	1120
197	275	1115
198	276	1112
199	277	1108
200	277	1104
201	278	1100
202	279	1096
203	279	1092
204	280	1088
205	281	1084
206	281	1080
207	282	1076
208	283	1072
209	283	1068
210	284	1064
211	285	1060
212	285	1056
213	286	1052
214	287	1048
215	287	1044
216	288	1040
217	289	1036
218	289	1032
219	290	1029
220	291	1026
221	291	1022
222	292	1019
223	293	1015
224	293	1012
225	294	1008
226	295	1004
227	295	1001
228	296	997
229	296	993
230	297	990
231	298	987
232	298	983
233	299	980
234	300	976
235	300	973
236	301	969
237	301	966
238	302	962
239	302	959
240	303	956
241	304	953
242	304	950
243	305	946
244	306	943
245	306	940
246	307	937
247	308	934
248	308	931
249	309	928
250	310	925
251	310	922
252	311	919
253	312	916
254	312	913
255	313	910
256	313	907
257	314	904
258	315	901
259	315	898
260	316	895
261	317	892
262	317	890
263	318	887
264	318	884
265	319	881
266	320	878
267	320	875
268	321	873
269	321	870
270	322	868
271	323	865
272	323	862
273	324	860
274	325	857
275	325	854
276	326	852
277	327	849
278	327	846
279	328	844
280	329	841
281	329	839
282	330	836
283	330	834
284	331	831
285	332	829
286	332	826
287	333	824
288	333	821
289	334	818
290	335	816
291	336	814
292	336	812
293	337	810
294	338	808
295	338	806
296	339	803
297	340	801
298	340	799
299	341	797
300	342	794
301	343	792
302	343	790
303	344	788
304	345	787
305	346	785
306	346	782
307	347	781
308	348	779
309	349	777
310	349	774
311	350	772
312	351	770
313	351	768
314	352	765
315	352	763
316	353	761
317	354	759
318	354	757
319	355	755
320	356	753
321	356	751
322	357	748
323	357	746
324	358	744
325	359	742
326	359	740
327	360	738
328	361	736
329	362	735
330	362	733
331	363	731
332	364	729
333	364	727
334	365	725
335	365	723
336	366	721
337	367	719
338	368	717
339	368	715
340	369	713
341	369	711
342	370	709
343	371	707
344	371	705
345	372	703
346	373	701
347	373	700
348	374	698
349	374	696
350	375	694
351	376	692
352	376	690
353	377	688
354	378	686
355	378	685
356	379	683
357	379	681
358	380	679
359	381	677
360	381	675
361	382	674
362	383	672
363	383	670
364	384	668
365	384	666
366	385	665
367	386	663
368	386	661
369	387	659
370	388	658
371	388	656
372	389	654
373	390	652
374	390	651
375	391	649
376	392	647
377	392	646
378	393	644
379	393	642
380	394	641
381	395	639
382	395	637
383	396	635
384	396	634
385	397	632
386	398	631
387	399	629
388	399	627
389	400	626
390	400	624
391	401	622
392	402	621
393	402	619
394	403	617
395	404	616
396	404	614
397	405	613
398	406	611
399	406	610
400	407	608
401	408	607
402	408	605
403	409	604
404	410	602
405	410	601
406	411	599
407	412	598
408	412	596
409	413	595
410	414	593
411	414	591
412	415	590
413	415	588
414	416	587
415	417	585
416	417	584
417	418	582
418	419	581
419	420	580
420	420	578
421	421	577
422	421	575
423	422	574
424	423	572
425	424	571
426	424	569
427	425	568
428	425	566
429	426	565
430	427	563
431	427	562
432	428	561
433	429	559
434	429	558
435	430	556
436	431	555
437	431	554
438	432	552
439	433	551
440	433	550
441	434	548
442	435	547
443	436	546
444	436	544
445	437	543
446	438	541
447	438	540
448	439	539
449	439	537
450	440	536
451	441	534
452	441	533
453	442	532
454	443	530
455	443	529
456	444	528
457	445	526
458	445	525
459	446	523
460	446	522
461	447	521
462	448	519
463	449	518
464	449	517
465	450	515
466	450	514
467	451	513
468	452	511
469	452	510
470	453	509
471	453	507
472	454	506
473	455	505
474	455	503
475	456	502
476	457	501
477	457	499
478	458	498
479	458	497
480	459	495
481	460	494
482	460	493
483	461	492
484	462	490
485	462	489
486	463	488
487	464	486
488	464	485
489	465	484
490	465	483
491	466	481
492	467	480
493	468	479
494	468	478
495	469	476
496	469	475
497	470	474
498	471	472
499	471	471
500	472	470
501	472	469
502	473	467
503	474	466
504	475	465
505	475	464
506	476	463
507	477	462
508	477	460
509	478	459
510	478	458
511	479	456
512	480	455
513	480	454
514	481	453
515	482	452
516	482	451
517	483	449
518	484	448
519	484	447
520	485	446
521	486	445
522	486	444
523	487	442
524	488	441
525	488	440
526	489	439
527	490	438
528	491	437
529	491	436
530	492	434
531	493	434
532	494	432
533	494	431
534	495	430
535	496	429
536	496	428
537	497	427
538	498	426
539	498	424
540	499	423
541	500	422
542	500	421
543	501	420
544	502	419
545	502	417
546	503	416
547	503	415
548	504	414
549	505	413
550	505	412
551	506	410
552	506	409
553	507	408
554	508	407
555	508	406
556	509	405
557	509	403
558	510	402
559	511	401
560	512	400
561	512	399
562	513	398
563	514	397
564	515	396
565	515	395
566	516	394
567	517	393
568	518	392
569	518	391
570	519	390
571	520	389
572	520	388
573	521	386
574	522	385
575	522	384
576	523	383
577	524	382
578	524	381
579	525	380
580	526	379
581	526	378
582	527	377
583	528	376
584	528	375
585	529	374
586	530	373
587	530	371
588	531	370
589	532	369
590	532	368
591	533	367
592	534	366
593	534	365
594	535	364
595	535	363
596	536	362
597	537	361
598	538	360
599	538	359
600	539	358
601	540	357
602	540	356
603	541	355
604	542	354
605	542	353
606	543	351
607	544	350
608	544	349
609	545	348
610	546	347
611	547	346
612	547	345
613	548	344
614	549	343
615	550	342
616	550	341
617	551	340
618	552	340
619	553	338
620	553	337
621	554	336
622	554	335
623	555	334
624	556	333
625	557	332
626	557	331
627	558	330
628	559	329
629	559	328
630	560	327
631	560	326
632	561	325
633	562	324
634	563	323
635	563	322
636	564	321
637	565	320
638	565	319
639	566	318
640	567	317
641	567	316
642	568	315
643	569	314
644	569	313
645	570	312
646	571	311
647	572	310
648	572	309
649	573	308
650	574	307
651	574	306
652	575	305
653	576	304
654	577	303
655	577	302
656	578	301
657	579	300
658	579	299
659	580	298
660	581	298
661	581	297
662	582	296
663	583	295
664	583	294
665	584	293
666	585	292
667	585	291
668	586	290
669	587	289
670	587	288
671	588	287
672	589	286
673	590	285
674	590	284
675	591	283
676	591	282
677	592	281
678	593	280
679	593	279
680	594	278
681	595	277
682	596	276
683	597	275
684	597	274
685	598	273
686	598	272
687	599	271
688	600	270
689	601	270
690	601	269
691	602	268
692	603	267
693	604	266
694	604	265
695	605	264
696	606	263
697	606	262
698	607	261
699	608	260
700	608	259
701	609	258
702	610	257
703	610	256
704	611	255
705	611	254
706	612	253
707	613	252
708	613	251
709	614	251
710	615	250
711	616	249
712	616	248
713	617	247
714	618	246
715	618	245
716	619	244
717	620	243
718	620	242
719	621	241
720	622	240
721	623	239
722	623	239
723	624	238
724	625	237
725	626	236
726	626	235
727	627	234
728	628	233
729	628	232
730	629	231
731	630	230
732	630	229
733	631	228
734	632	227
735	632	226
736	633	226
737	634	225
738	634	224
739	635	223
740	636	222
741	636	221
742	637	220
743	638	219
744	638	218
745	639	217
746	639	216
747	640	215
748	641	214
749	641	213
750	642	212
751	642	212
752	643	211
753	644	210
754	644	209
755	645	208
756	645	207
757	646	206
758	647	205
759	647	204
760	648	203
761	649	202
762	649	201
763	650	200
764	651	199
765	651	199
766	652	198
767	652	197
768	653	196
769	653	195
770	654	194
771	655	193
772	655	192
